id|address|bldgnbr|predir|streetname|streettype|suffdir|city|state_code|zip5|zip4|latitude|longitude|fullfipsid|objectid|gid|geom|cty_rural|blk_rural,,
15020|360 S PATAGONIA ST BENSON AZ 85602|360|S|PATAGONIA|ST||BENSON|AZ|85602||31.9652|-110.297|040030003013044|10-1-04-2-2072|7384|0101000020E6100000000000E0FF925BC00000006014F73F40|0|0,,
15979|300 S HUACHUCA ST BENSON AZ 85602|300|S|HUACHUCA|ST||BENSON|AZ|85602|6650|31.9659|-110.297|040030003013044|10-1-04-2-2936|7385|0101000020E6100000000000C0FB925BC00000000043F73F40|0|0,,
19013|375 E SEVENTH ST BENSON AZ 85602|375|E|SEVENTH|ST||BENSON|AZ|85602||31.9646|-110.294|040030003013046|10-1-04-2-5667|7386|0101000020E610000000000080D5925BC000000040EEF63F40|0|0,,
19935|360 S GILA ST BENSON AZ 85602|360|S|GILA|ST||BENSON|AZ|85602||31.9649|-110.294|040030003013046|10-1-04-2-6497|7387|0101000020E610000000000060CD925BC00000008003F73F40|0|0,,
16514|500 S HWY 80 BENSON AZ 85602|500|S|HWY 80|||BENSON|AZ|85602||31.9644|-110.289|040030003013049|10-1-04-2-3417|7388|0101000020E61000000000006086925BC000000060E5F63F40|0|0,,
20992|595 S DRAGOON ST BENSON AZ 85602|595|S|DRAGOON|ST||BENSON|AZ|85602||31.964|-110.291|040030003013049|10-1-04-2-7448|7389|0101000020E6100000000000009E925BC000000040C6F63F40|0|0,,
19595|108 PEDERSON DR ST DAVID AZ 85630|108||PEDERSON|DR||ST DAVID|AZ|85630||31.9144|-110.219|040030003021104|10-1-04-2-6190|7390|0101000020E6100000000000A0058E5BC0000000A016EA3F40|0|0,,
19585|515 E DRAGOON VISTA LN ST DAVID AZ 85630|515|E|DRAGOON VISTA|LN||ST DAVID|AZ|85630||31.9017|-110.211|040030003021105|10-1-04-2-6181|7391|0101000020E610000000000080798D5BC000000060D7E63F40|0|0,,
14997|70 PATTON HWY ST DAVID AZ 85630|70||PATTON|HWY||ST DAVID|AZ|85630|70|31.9053|-110.223|040030003021112|10-1-04-2-2051|7392|0101000020E6100000000000204B8E5BC000000040C4E73F40|0|0,,
15914|70 PATTON HWY ST DAVID AZ 85630|70||PATTON|HWY||ST DAVID|AZ|85630||31.9054|-110.223|040030003021112|10-1-04-2-2878|7393|0101000020E6100000000000204C8E5BC000000040C8E73F40|0|0,,
21470|1050 N SYBIL RD ST DAVID AZ 85630|1050|N|SYBIL|RD||ST DAVID|AZ|85630||31.9259|-110.232|040030003021164|10-1-04-2-7879|7394|0101000020E610000000000000E08E5BC00000000007ED3F40|0|0,,
14998|70 PATTON HWY ST DAVID AZ 85630|70||PATTON|HWY||ST DAVID|AZ|85630|70|31.9053|-110.221|040030003021188|10-1-04-2-2052|7395|0101000020E6100000000000401E8E5BC0000000A0C3E73F40|0|0,,
19194|70 E PATTON ST ST DAVID AZ 85630|70|E|PATTON|ST||ST DAVID|AZ|85630||31.9053|-110.221|040030003021188|10-1-04-2-583|7396|0101000020E6100000000000401E8E5BC0000000A0C3E73F40|0|0,,
22726|MP 300.7   SR 80   ST DAVID AZ 85630|MP 300.7||SR 80|||ST DAVID|AZ|85630||31.8973|-110.227|040030003022001|10-1-04-2-9008|7397|0101000020E6100000000000808E8E5BC000000060B7E53F40|0|0,,
23583|618 S HWY 90 BENSON AZ 85602|618|S|HWY 90|||BENSON|AZ|85602||31.9631|-110.346|040030003024003|10-1-04-2-9780|7398|0101000020E61000000000006026965BC0000000C08AF63F40|0|0,,
19355|388 S J 6 RANCH RD MESCAL AZ 85602|388|S|J 6 RANCH|RD||MESCAL|AZ|85602||31.9572|-110.435|040030003024036|10-1-04-2-5975|7399|0101000020E6100000000000A0D09B5BC00000002008F53F40|0|0,,
19064|5999 N CANYON RD BENSON AZ 85602|5999|N|CANYON|RD||BENSON|AZ|85602||32.3025|-110.365|040030003031010|10-1-04-2-5712|7400|0101000020E6100000000000E063975BC000000020B8264040|0|0,,
15425|1275 E BARNEY LN BENSON AZ 85602|1275|E|BARNEY|LN||BENSON|AZ|85602||31.9715|-110.262|040030003031209|10-1-04-2-2437|7401|0101000020E610000000000080C9905BC000000040B4F83F40|0|0,,
15426|1275 E BARNEY LN BENSON AZ 85602|1275|E|BARNEY|LN||BENSON|AZ|85602||31.9715|-110.262|040030003031209|10-1-04-2-2438|7402|0101000020E610000000000080C9905BC000000040B4F83F40|0|0,,
19354|448 N WARREN RD BENSON AZ 85602|448|N|WARREN|RD||BENSON|AZ|85602||31.9723|-110.434|040030003032015|10-1-04-2-5974|7403|0101000020E6100000000000A0C19B5BC0000000A0EAF83F40|0|0,,
14820|1396 N OLD POMERENE RD POMERENE AZ 85627|1396|N|OLD POMERENE|RD||POMERENE|AZ|85627|7|31.9988|-110.286|040030003033000|10-1-04-2-1893|7404|0101000020E61000000000008054925BC000000040AEFF3F40|0|0,,
15877|1396 N OLD POMERENE RD POMERENE AZ 85627|1396|N|OLD POMERENE|RD||POMERENE|AZ|85627||31.9988|-110.286|040030003033000|10-1-04-2-2844|7405|0101000020E61000000000008054925BC000000040AEFF3F40|0|0,,
21309|104 W HARVEST WAY BENSON AZ 85602|104|W|HARVEST|WAY||BENSON|AZ|85602||31.9818|-110.295|040030003033008|10-1-04-2-7733|7406|0101000020E6100000000000E0DC925BC00000006055FB3F40|0|0,,
21312|2220 W AVIATION DR BENSON AZ 85602|2220|W|AVIATION|DR||BENSON|AZ|85602||31.9949|-110.359|040030003033027|10-1-04-2-7736|7407|0101000020E6100000000000C0F2965BC000000040AFFE3F40|0|0,,
21458|980 N MADISON BENSON AZ 85602|980|N|MADISON|||BENSON|AZ|85602||31.9813|-110.299|040030003033059|10-1-04-2-7868|7408|0101000020E6100000000000A01A935BC00000008038FB3F40|0|0,,
19518|1393 OLD POMERENE RD POMERENE AZ 85627|1393||OLD POMERENE|RD||POMERENE|AZ|85627||31.9994|-110.285|040030003033112|10-1-04-2-6120|7409|0101000020E6100000000000A045925BC0000000A0D8FF3F40|0|0,,
22496|1581 N ORANTE, US HIGHWAY 80 TOMBSTONE AZ 85638|1581|N|ORANTE, US HIGHWAY 80|||TOMBSTONE|AZ|85638||31.7356|-110.031|040030004001078|10-1-04-2-8801|7410|0101000020E6100000000000A0FE815BC00000000051BC3F40|0|0
14732|1487 E SCHOOL RD PEARCE AZ 85625|1487|E|SCHOOL|RD||PEARCE|AZ|85625|127|31.8957|-109.819|040030004001088|10-1-04-2-1813|7411|0101000020E61000000000000068745BC0000000C04CE53F40|0|0,,
15866|1487 E SCHOOL RD PEARCE AZ 85625|1487|E|SCHOOL|RD||PEARCE|AZ|85625||31.8956|-109.819|040030004001088|10-1-04-2-2834|7412|0101000020E6100000000000C06D745BC00000000046E53F40|0|0,,
15324|1211 FREMONT ST TOMBSTONE AZ 85638|1211||FREMONT|ST||TOMBSTONE|AZ|85638|1000|31.7255|-110.071|040030004001160|10-1-04-2-2346|7413|0101000020E6100000000000E08B845BC000000020B7B93F40|0|0,,
22499|107 E TOUGHNUT ST TOMBSTONE AZ 85638|107|E|TOUGHNUT|ST||TOMBSTONE|AZ|85638||31.7129|-110.07|040030004001193|10-1-04-2-8804|7414|0101000020E6100000000000607E845BC00000008081B63F40|0|0,,
22498|611 E ALLEN TOMBSTONE AZ 85638|611|E|ALLEN|||TOMBSTONE|AZ|85638||31.7118|-110.065|040030004001200|10-1-04-2-8803|7415|0101000020E61000000000006025845BC0000000A03BB63F40|0|0,,
13815|1001 N HWY 80 HWY TOMBSTONE AZ 85638|1001|N|HWY 80|HWY||TOMBSTONE|AZ|85638||31.7037|-110.056|040030004001253|10-1-04-2-10300|7416|0101000020E61000000000004093835BC00000002025B43F40|0|0,,
